swig_80_id,name_index,ticker,kurs,zmiana,zmiana_pr,wplyw_na_indeks,udział_w_obrocie,pakiet,udział_portfel
1,ABPL,ABE,25.90,-0.60,-2.26,-0.04,0.1600,13113000,1.97
2,ACAUTOGAZ,ACG,47.80,-1.00,-2.05,-0.04,0.3800,7863000,2.18
3,AGORA,AGO,12.15,-0.45,-3.57,-0.09,0.2300,35828000,2.52
4,ALTUSTFI,ALI,2.13,0.16,8.38,0.02,0.3500,23745000,0.29
5,ALUMETAL,AML,42.50,-0.50,-1.16,-0.03,0.1500,10371000,2.55
6,AMBRA,AMB,18.75,-0.25,-1.32,-0.01,0.2700,9800000,1.06
7,APATOR,APT,20.70,-0.50,-2.36,-0.06,1.8900,20484000,2.46
8,ARCHICOM,ARH,18.10,-1.05,-5.48,-0.04,0.2900,6591000,0.69
9,ASBIS,ASB,3.78,-0.20,-5.03,-0.04,3.8300,35056000,0.77
10,ASSECOBS,ABS,31.20,0.20,0.65,0.02,0.0200,17889000,3.23
11,ASSECOSEE,ASE,24.00,-0.60,-2.44,-0.09,0.2600,25399000,3.53
12,ASTARTA,AST,16.80,-0.70,-4.00,-0.03,0.3400,7103000,0.69
13,ATAL,1AT,41.00,-0.70,-1.68,-0.03,0.0800,6500000,1.54
14,ATMGRUPA,ATG,4.60,-0.19,-3.97,-0.04,0.0500,35192000,0.94
15,AUTOPARTN,APR,5.32,0.02,0.38,0.01,1.2200,65675000,2.02
16,BAHOLDING,BAH,0.95,-0.05,-4.71,-0.01,1.0200,22434000,0.12
17,BIOTON,BIO,3.56,-0.18,-4.81,-0.04,0.6700,38904000,0.80
18,BOS,BOS,6.70,-0.20,-2.90,-0.03,0.1200,25847000,1.00
19,BSCDRUK,BSC,44.00,1.40,3.29,0.03,0.3400,3842000,0.98
20,COGNOR,COG,1.27,-0.02,-1.55,0.00,0.1400,30976000,0.23
21,COMP,CMP,65.80,0.80,1.23,0.02,0.0200,4296000,1.64
22,CORMAY,CRM,0.98,0.00,0.51,0.00,0.2500,64542000,0.37
23,CPGROUP,CPG,7.60,0.00,0.00,0.00,0.0300,29780000,1.31
24,DATAWALK,DAT,53.60,0.60,1.13,0.01,1.6300,3290000,1.02
25,DEBICA,DBC,81.20,-1.20,-1.46,-0.01,1.3500,1759000,0.83
26,DOMDEV,DOM,95.00,-1.40,-1.45,-0.07,0.6000,8177000,4.50
27,EKOEXPORT,EEX,5.21,-0.16,-2.98,-0.01,0.2400,9459000,0.29
28,ELBUDOWA,ELB,8.00,0.02,0.25,0.00,0.6100,4747000,0.22
29,ELEMENTAL,EMT,1.80,-0.05,-2.70,-0.02,0.2300,80188000,0.84
30,ENTER,ENT,50.00,-1.00,-1.96,-0.05,3.8000,8322000,2.41
31,FERRO,FRO,17.50,-0.30,-1.69,-0.04,1.8700,21242000,2.15
32,IDEABANK,IDA,2.30,-0.06,-2.54,-0.01,0.1600,15235000,0.20
33,IMCOMPANY,IMC,13.20,-0.30,-2.22,-0.01,0.1000,8572000,0.66
34,INSTALKRK,INK,18.45,-0.15,-0.81,-0.01,0.0400,5977000,0.64
35,KOGENERA,KGN,35.70,-1.00,-2.72,-0.04,0.0100,6247000,1.29
36,KRUSZWICA,KSW,52.80,-0.40,-0.75,-0.01,0.4500,2418000,0.74
37,LENTEX,LTX,7.44,0.18,2.48,0.02,0.7000,16508000,0.71
38,MANGATA,MGT,74.50,0.00,0.00,0.00,0.0400,2270000,0.98
