wig_30_id,name_index,ticker,kurs,zmiana,zmiana_pr,wplyw_na_indeks,udział_w_obrocie,pakiet,udział_portfel
1,ALIOR,ALR,27.20,-0.60,-2.16,-0.02,1.1600,88860000,1.14
2,AMREST,EAT,46.40,-0.60,-1.28,-0.02,0.1500,72350000,1.58
3,ASSECOPOL,ACP,65.65,-1.20,-1.80,-0.03,0.4900,55869000,1.73
4,CCC,CCC,87.50,-3.70,-4.06,-0.05,2.4100,27918000,1.15
5,CDPROJEKT,CDR,271.00,-5.00,-1.81,-0.16,10.4400,67348000,8.59
6,CYFRPLSAT,CPS,26.60,-0.80,-2.92,-0.10,2.1300,275301000,3.45
7,DINOPL,DNP,153.90,-7.90,-4.88,-0.17,6.2000,47937000,3.47
8,ENEA,ENA,7.32,-0.14,-1.81,-0.01,0.3000,214078000,0.74
9,ENERGA,ENG,7.45,-0.05,-0.67,0.00,0.1600,200740000,0.70
10,EUROCASH,EUR,19.80,-0.70,-3.41,-0.02,1.0100,77875000,0.73
11,GRUPAAZOTY,ATT,26.50,-1.08,-3.92,-0.02,0.5200,46803000,0.58
12,INGBSK,ING,204.50,-0.50,-0.24,-0.01,0.1300,32525000,3.13
13,JSW,JSW,19.20,-1.34,-6.52,-0.03,3.2500,52636000,0.48
14,KERNEL,KER,48.10,-0.05,-0.10,0.00,0.0500,38691000,0.88
15,KGHM,KGH,93.16,-4.20,-4.31,-0.26,14.3100,136410000,5.98
16,KRUK,KRU,160.60,0.60,0.37,0.00,0.3700,17043000,1.29
17,LOTOS,LTS,83.50,-2.36,-2.75,-0.09,2.1700,86543000,3.40
18,LPP,LPP,8385.00,-200.00,-2.33,-0.12,1.4700,1306000,5.15
19,MBANK,MBK,362.40,-16.60,-4.38,-0.10,0.5800,12995000,2.22
20,MILLENNIUM,MIL,5.91,-0.13,-2.15,-0.04,0.3400,605345000,1.68
21,ORANGEPL,OPL,7.05,-0.26,-3.49,-0.07,1.6900,647357000,2.15
22,PEKAO,PEO,97.46,-3.04,-3.02,-0.24,10.1900,176379000,8.09
23,PGE,PGE,7.14,-0.30,-4.03,-0.11,1.6300,796776000,2.68
24,PGNIG,PGN,3.86,-0.20,-4.98,-0.15,2.9400,1624608000,2.95
25,PKNORLEN,PKN,82.58,-2.94,-3.44,-0.31,11.9200,232442000,9.03
26,PKOBP,PKO,34.46,-1.26,-3.53,-0.32,13.4000,566962000,9.19
27,PLAY,PLY,35.70,-0.70,-1.92,-0.04,1.5000,114059000,1.92
28,PZU,PZU,40.59,-0.90,-2.17,-0.24,6.0300,568305000,10.86
29,SANPL,SPL,277.40,-14.60,-5.00,-0.22,2.4000,33207000,4.34
30,TAURONPE,TPE,1.51,-0.06,-3.75,-0.03,0.6900,1043590000,0.74
